"id","n_features","file_bytes"
"10010",22,12826
"10011",22,10573
"10012",22,10932
"10013",22,12781
"10014",22,13696
"10015",22,14011
"10016",22,12841
"10018",22,10539
"10019",22,12455
"10020",22,11467
"10021",22,10453
"10023",22,11967
"10024",22,11342
"10025",22,10339
"10026",22,10876
"10027",22,10813
"10028",22,10724
"10029",22,12688
"10196",22,29805
"10197",22,30820
"10229",22,12050
"10230",22,10964
"10231",22,13119
"10232",22,12604
"10233",22,12753
"10234",22,13671
"10235",22,12272
"10236",22,10702
"10237",22,10365
"10238",22,11326
"10239",22,11680
"10240",22,10690
"10244",22,10542
"10245",22,11286
"10246",22,10735
"10247",22,10600
"10248",22,11282
"1041",21,52073
"10415",22,30357
"10449",22,10852
"10450",22,9837
"10451",22,10924
"10452",22,11922
"10454",22,10181
"10455",22,9960
"10456",22,10959
"10457",22,10992
"10458",22,11268
"10459",22,10041
"10463",22,10030
"10464",22,10570
"10465",22,11341
"10466",22,10786
"10467",22,11709
"10468",22,11148
"10470",22,11452
"10667",22,11128
"10668",22,10849
"10670",22,10206
"10671",22,8655
"10672",22,9133
"10673",22,10303
"10674",22,10244
"10675",22,10375
"10676",22,10238
"10677",22,12387
"10678",22,10793
"10681",22,11143
"10682",22,10746
"10683",22,11024
"10684",22,10165
"10685",22,9929
"10686",22,10675
"10687",22,9922
"10885",22,9715
"10886",22,10585
"10887",22,10649
"10889",22,8088
"10890",22,8575
"10891",22,9587
"10892",22,9956
"10893",22,9253
"10894",22,9560
"10895",22,9916
"10896",22,12474
"10897",22,11239
"10898",22,10626
"10901",22,12039
"10902",22,11973
"10903",22,10187
"10904",22,10393
"10905",22,9573
"11104",22,9254
"11105",22,8256
"11106",22,8496
"11107",22,7818
"11108",22,7884
"11109",22,8783
"11110",22,9460
"11111",22,9299
"11112",22,9175
"11113",22,9205
"11114",22,10548
"11115",22,10707
"11116",22,10466
"11120",22,10348
"11121",22,11488
"11122",22,10481
"11123",22,9336
"11324",22,8671
"11325",22,8078
"11326",22,7386
"11327",22,7954
"11328",22,8160
"11329",22,8728
"11330",22,8828
"11331",22,8984
"11332",22,9751
"11333",22,10422
